DEPTH,,CALI,RHOB,TNPH,SP,SGR,LLD,LLS,MSFLC,DTLN,DRHO,PERMCORE  .,PHICORE ,GDCORE
FT,,IN,G/C3,DEC,MV,GAPI,OHMM,OHMM,OHMM,US/F,G/C3,MD,FRAC,KGDM
8085.5,8025.5,8.11,2.333,0.155,-9.01,25.12,2.42,2.09,1.50,77.40,0.005,-999,-999,-999
8086.0,8026.0,8.11,2.361,0.155,-9.05,23.96,2.39,2.11,1.58,77.40,0.003,-999,-999,-999
8086.5,8026.5,8.11,2.363,0.160,-8.99,22.40,2.38,2.07,1.61,77.85,0.010,-999,-999,-999
8087.0,8027.0,8.11,2.328,0.163,-8.89,23.12,2.19,2.03,1.55,78.30,0.006,-999,-999,-999
8087.5,8027.5,8.11,2.298,0.165,-8.67,22.78,2.06,1.89,1.36,78.50,-0.004,-999,-999,-999
8088.0,8028.0,8.11,2.304,0.163,-8.82,24.17,2.12,1.81,1.21,78.60,-0.002,-999,-999,-999
8088.5,8028.5,8.11,2.328,0.166,-8.56,24.41,2.20,1.86,1.24,78.45,0.000,-999,-999,-999
8089.0,8029.0,8.11,2.361,0.171,-8.56,25.27,2.12,1.90,1.39,78.50,0.007,-999,-999,-999
8089.5,8029.5,8.11,2.363,0.175,-8.55,31.51,2.07,1.83,1.44,78.95,0.012,-999,-999,-999
8090.0,8030.0,8.11,2.322,0.174,-8.46,29.00,1.94,1.80,1.36,79.65,0.002,-999,-999,-999
8090.5,8030.5,8.11,2.295,0.169,-8.22,26.22,1.78,1.71,1.18,80.05,-0.004,-999,-999,-999
8091.0,8031.0,8.11,2.299,0.160,-8.04,21.48,1.84,1.60,1.05,79.60,-0.005,-999,-999,-999
8091.5,8031.5,8.11,2.315,0.160,-7.91,20.13,1.84,1.65,1.04,79.30,-0.003,-999,-999,-999
8092.0,8032.0,8.11,2.309,0.164,-7.76,19.40,1.75,1.64,1.06,79.60,0.000,-999,-999,-999
